final_coverage,steps_taken,rovers_alive,n_rovers,energy_used,coverage_per_energy,algorithm,seed,terrain_size,max_steps,comm_radius,failure_rate
0.7288418708240535,250,4,4,395.6212000000013,0.0018422720289611655,pheromone,4,48,250,40,0.0
0.7098666666666666,250,4,4,396.84000000000094,0.0017887981722272577,pheromone,5,48,250,40,0.0
0.8433794466403162,250,4,4,395.1124000000013,0.0021345304440972073,pheromone,6,48,250,40,0.0
0.7743837084673098,250,4,4,395.1124000000013,0.001959907379437616,pheromone,7,48,250,40,0.0
0.6909090909090909,250,3,4,477.15120000000115,0.001447987746670425,pheromone,0,48,250,40,0.25
0.8281332628239026,250,3,4,471.3936000000007,0.0017567766359659984,pheromone,1,48,250,40,0.25
0.8947078280044102,250,3,4,448.5420000000014,0.001994702453737682,pheromone,2,48,250,40,0.25
0.3656941649899396,250,3,4,450.044600000001,0.0008125731649484047,pheromone,3,48,250,40,0.25
0.7260579064587973,250,3,4,450.1928000000014,0.0016127710315642432,pheromone,4,48,250,40,0.25
0.6965333333333333,250,3,4,450.75480000000107,0.0015452599358527779,pheromone,5,48,250,40,0.25
0.7628458498023716,250,3,4,448.19880000000137,0.0017020256408593001,pheromone,6,48,250,40,0.25
0.7743837084673098,250,3,4,447.5124000000014,0.00173041843861155,pheromone,7,48,250,40,0.25
