corrected,seed,cls,n,mean,sd,truth,covered,abs_error
True,200026,2,6,0.5798699114460112,0.04262549635118808,0.62,True,0.04013008855398881
True,200026,4,1,0.2618592857467518,0.05566504597084943,0.26,True,0.0018592857467518153
True,200027,0,4,0.11524298329491618,0.02060293029002796,0.12,True,0.004757016705083814
True,200027,1,1,0.3544627473066742,0.04784396625654424,0.14,False,0.2144627473066742
True,200027,2,6,0.5606463418479557,0.04262549635118808,0.62,True,0.0593536581520443
True,200027,3,2,0.36186398417184695,0.018685133104463177,0.06,False,0.30186398417184696
True,200027,4,1,0.3256578470322239,0.05566504597084943,0.26,True,0.06565784703222388
True,200028,0,24,0.11766957308806832,0.008809660789670817,0.12,True,0.0023304269119316795
True,200028,1,1,0.13908461715441858,0.04784396625654424,0.14,True,0.0009153828455814306
True,200028,2,17,0.6512310959944203,0.030136465280057208,0.62,True,0.03123109599442031
True,200028,3,6,0.0982136227780073,0.01111613204393029,0.06,False,0.0382136227780073
True,200029,0,10,0.12840629551176302,0.01346619840915939,0.12,True,0.008406295511763029
True,200029,1,2,0.1292705165564401,0.04004080554644994,0.14,True,0.010729483443559923
True,200029,2,7,0.4786102166462556,0.04080983238041461,0.62,False,0.1413897833537444
True,200029,4,1,0.4043439826911861,0.05566504597084943,0.26,False,0.1443439826911861
True,200030,0,22,0.14579726895281903,0.00919328630775006,0.12,False,0.02579726895281903
True,200030,1,4,0.18728582519302084,0.03166311656095483,0.14,True,0.047285825193020825
True,200030,2,38,0.5909167036107215,0.021554556159675033,0.62,True,0.029083296389278535
True,200030,3,2,0.22734685655473888,0.018685133104463177,0.06,False,0.16734685655473888
True,200030,4,2,0.34061241607361886,0.050286612029378855,0.26,True,0.08061241607361885
True,200031,0,5,0.08241724996502045,0.018626546412740586,0.12,False,0.037582750034979545
True,200031,1,1,0.1702382791041091,0.04784396625654424,0.14,True,0.03023827910410909
True,200031,2,5,0.4375242850147556,0.044707277277780184,0.62,False,0.1824757149852444
True,200031,4,1,0.4446243048656179,0.05566504597084943,0.26,False,0.18462430486561787
True,200032,0,5,0.12837811524260487,0.018626546412740586,0.12,True,0.008378115242604872
True,200032,1,4,0.3684517925425998,0.03166311656095483,0.14,False,0.22845179254259979
True,200032,2,7,0.518878555350979,0.04080983238041461,0.62,False,0.10112144464902095
True,200032,3,1,0.09677918869872094,0.02534193572443327,0.06,True,0.03677918869872095
True,200032,4,2,0.27380093383531484,0.050286612029378855,0.26,True,0.013800933835314833
True,200033,0,1,0.1220676958301525,0.03588739120448211,0.12,True,0.0020676958301525106
True,200033,1,86,0.14782933854257005,0.007827743362766015,0.14,True,0.007829338542570036
True,200033,2,9,0.45187888427022954,0.03778114718967577,0.62,False,0.16812111572977045
